349.67	3.00
350.45	2.00
351.24	0.00
352.02	-1.00
352.80	3.00
353.59	0.00
354.37	-1.00
355.16	4.00
355.94	-1.00
356.72	0.00
357.51	-2.00
358.29	1.00
359.07	2.00
359.86	1.00
360.64	1.00
361.42	1.00
362.21	1.00
362.99	-1.00
363.77	1.00
364.56	0.00
365.34	2.00
366.12	-2.00
366.91	3.00
367.69	2.00
368.47	0.00
369.25	-1.00
370.04	4.00
370.82	1.00
371.60	0.00
372.38	1.00
373.17	3.00
373.95	-1.00
374.73	4.00
375.51	0.00
376.30	0.00
377.08	1.00
377.86	5.00
378.64	2.00
379.42	2.00
380.21	2.00
380.99	2.00
381.77	1.00
382.55	3.00
383.33	-1.00
384.11	3.00
384.90	0.00
385.68	1.00
386.46	3.00
387.24	2.00
388.02	3.00
388.80	1.00
389.58	0.00
390.36	-1.00
391.14	7.00
391.93	1.00
392.71	-2.00
393.49	2.00
394.27	2.00
395.05	-2.00
395.83	1.00
396.61	7.00
397.39	1.00
398.17	-1.00
398.95	0.00
399.73	2.00
400.51	1.00
401.29	3.00
402.07	2.00
402.85	0.00
403.63	-1.00
404.41	3.00
405.19	4.00
405.97	3.00
406.75	0.00
407.53	3.00
408.31	1.00
409.09	3.00
409.87	1.00
410.65	5.00
411.43	3.00
412.21	-2.00
412.98	0.00
413.76	4.00
414.54	0.00
415.32	4.00
416.10	0.00
416.88	1.00
417.66	4.00
418.44	1.00
419.21	4.00
419.99	3.00
420.77	2.00
421.55	0.00
422.33	1.00
423.11	3.00
423.89	2.00
424.66	0.00
425.44	5.00
426.22	1.00
427.00	-3.00
427.78	4.00
428.55	0.00
429.33	-1.00
430.11	2.00
430.89	3.00
431.66	2.00
432.44	3.00
433.22	2.00
434.00	-2.00
434.77	1.00
435.55	4.00
436.33	0.00
437.10	1.00
437.88	-2.00
438.66	2.00
439.44	2.00
440.21	-1.00
440.99	-1.00
441.77	1.00
442.54	2.00
443.32	2.00
444.10	1.00
444.87	0.00
445.65	0.00
446.42	-1.00
447.20	0.00
447.98	0.00
448.75	3.00
449.53	1.00
450.31	-2.00
451.08	-1.00
451.86	0.00
452.63	0.00
453.41	0.00
454.18	4.00
454.96	1.00
455.74	-3.00
456.51	4.00
457.29	0.00
458.06	-2.00
458.84	1.00
459.61	2.00
460.39	0.00
461.16	3.00
461.94	1.00
462.71	-2.00
463.49	2.00
464.26	3.00
465.04	-3.00
465.81	0.00
466.59	4.00
467.36	0.00
468.13	-1.00
468.91	5.00
469.68	-1.00
470.46	-2.00
471.23	3.00
472.01	2.00
472.78	0.00
473.55	2.00
474.33	1.00
475.10	1.00
475.88	-2.00
476.65	-1.00
477.42	0.00
478.20	5.00
478.97	3.00
479.74	-2.00
480.52	0.00
481.29	-3.00
482.06	0.00
482.84	1.00
483.61	-2.00
484.38	0.00
485.16	0.00
485.93	2.00
486.70	-1.00
487.47	2.00
488.25	-1.00
489.02	0.00
489.79	2.00
490.57	1.00
491.34	1.00
492.11	1.00
492.88	1.00
493.65	1.00
494.43	3.00
495.20	2.00
495.97	1.00
496.74	-2.00
497.52	0.00
498.29	-1.00
499.06	1.00
499.83	3.00
500.60	2.00
501.37	7.00
502.15	0.00
502.92	3.00
503.69	3.00
504.46	3.00
505.23	3.00
506.00	2.00
506.77	2.00
507.54	3.00
508.32	2.00
509.09	-1.00
509.86	4.00
510.63	2.00
511.40	0.00
512.17	1.00
512.94	2.00
513.71	1.00
514.48	1.00
515.25	2.00
516.02	4.00
516.79	1.00
517.56	5.00
518.33	1.00
519.10	1.00
519.87	5.00
520.64	1.00
521.41	0.00
522.18	3.00
522.95	1.00
523.72	3.00
524.49	3.00
525.26	4.00
526.03	3.00
526.80	0.00
527.57	5.00
528.34	6.00
529.11	9.00
529.88	37.00
530.65	63.00
531.41	73.00
532.18	64.00
532.95	43.00
533.72	17.00
534.49	7.00
535.26	-1.00
536.03	0.00
536.80	1.00
537.56	1.00
538.33	-2.00
539.10	0.00
539.87	-1.00
540.64	-5.00
541.40	-3.00
542.17	-1.00
542.94	-3.00
543.71	-6.00
544.48	-4.00
545.24	-1.00
546.01	-6.00
546.78	-2.00
547.55	0.00
548.31	2.00
549.08	-1.00
549.85	1.00
550.62	2.00
551.38	1.00
