	220		261		190
1395	0.001564930775	--	--	1395	0.003090702929
1394	0.001511286595	--	--	1394	0.002570874756
1393	0.001078037894	--	--	1393	0.002255909145
1392	8.989138878E-4	--	--	1392	0.001949154423
1391	6.54838921E-4	--	--	1391	0.001809361973
1390	8.603953174E-4	--	--	1390	0.001624713535
1389	0.001022741315	--	--	1389	0.001466168324
1388	0.001589222229	--	--	1388	0.001261545229
1387	0.001820253558	--	--	1387	0.0010002458
1386	0.001829585759	--	--	1386	6.929763476E-4
1385	0.002869730582	--	--	1385	3.619071504E-4
1384	0.00278669293	--	--	1384	1.182373089E-4
1383	0.00375594059	--	--	1383	-7.014531002E-5
1382	0.004228280857	--	--	1382	-1.399169996E-4
1381	0.004337085877	--	--	1381	-6.730346627E-7
1380	0.004676930606	--	--	1380	4.271472571E-4
1379	0.00440682238	--	--	1379	6.626683753E-4
1378	0.00497386232	--	--	1378	0.001109438832
1377	0.005198161118	--	--	1377	0.001237453893
1376	0.005630716216	--	--	1376	0.001264478895
1375	0.005989526864	--	--	1375	0.001128254575
1374	0.006350578275	--	--	1374	9.498881991E-4
1373	0.006670158356	--	--	1373	9.084079065E-4
1372	0.007182550151	--	--	1372	8.028442389E-4
1371	0.007760711946	--	--	1371	6.745683495E-4
1370	0.008232682012	--	--	1370	5.479372921E-4
1369	0.008868039586	--	--	1369	4.468144907E-4
1368	0.009329816326	--	--	1368	3.277882643E-4
1367	0.009850335307	--	--	1367	2.392522438E-4
1366	0.009919611737	--	--	1366	2.261469199E-4
1365	0.01058330573	--	--	1365	9.832603973E-5
1364	0.01088642702	--	--	1364	2.542076436E-5
1363	0.01086614933	--	--	1363	6.893980753E-5
1362	0.01098448876	--	--	1362	1.172015909E-4
1361	0.01119446289	--	--	1361	1.739626605E-4
1360	0.01149455644	--	--	1360	2.653345582E-4
1359	0.01274461485	--	--	1359	3.061058815E-4
1358	0.0139696775	--	--	1358	1.914171444E-4
1357	0.01512030978	--	--	1357	2.246188524E-4
1356	0.01588862948	--	--	1356	1.044106612E-4
1355	0.01649861783	--	--	1355	-4.472865112E-5
1354	0.01699854434	--	--	1354	-2.191988315E-4
1353	0.01719574444	--	--	1353	-3.189533018E-4
1352	0.0179215353	--	--	1352	-4.222019343E-4
1351	0.01831462607	--	--	1351	-5.374224274E-4
1350	0.0189680811	--	--	1350	-6.424802123E-4
1349	0.01953478344	--	--	1349	-7.495798636E-4
1348	0.02025017515	--	--	1348	-7.777977153E-4
1347	0.02089557797	--	--	1347	-8.606833871E-4
1346	0.02154670283	--	--	1346	-9.518187144E-4
1345	0.02237175219	--	--	1345	-9.61943646E-4
1344	0.02314174362	--	--	1344	-0.0010122034
1343	0.02396507375	--	--	1343	-0.001086420147
1342	0.0248058904	--	--	1342	-0.001102119219
1341	0.02568387426	--	--	1341	-0.001133825397
1340	0.02658683434	--	--	1340	-0.001088537509
1339	0.02749854326	--	--	1339	-0.001159075182
1338	0.02846103348	--	--	1338	-0.001142965048
1337	0.02941466495	--	--	1337	-0.001151123433
1336	0.03043966368	--	--	1336	-0.001190622337
1335	0.03154750168	--	--	1335	-0.001165219583
1334	0.03264094889	--	--	1334	-0.001164548332
1333	0.03371715546	--	--	1333	-0.00116449676
1332	0.03480686247	--	--	1332	-0.001126338029
1331	0.03601575643	--	--	1331	-0.001144255977
1330	0.03717041016	--	--	1330	-0.001154479687
1329	0.03845248371	--	--	1329	-0.001154892845
1328	0.03975886106	--	--	1328	-0.001151020173
1327	0.04104067013	--	--	1327	-0.001124788891
1326	0.04241574183	--	--	1326	-0.00109494105
1325	0.04378244281	--	--	1325	-0.00111647509
